CustomerID,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisits,Churn
1,482.9683581,Books,2022/3/6 13:56,Other,14,1
2,344.8933535,Home Goods,2023/12/19 7:28,Doctor,7,0
3,546.9302086,Home Goods,2023/12/11 11:29,Student,9,0
4,613.871122,Clothing,2023/7/18 18:17,Doctor,10,0
5,-,Electronics,-,Engineer,-,1
6,527.8042333,Home Goods,2023/6/9 19:57,Unemployed,7,0
7,534.976474,Books,2023/3/26 14:20,Unemployed,9,1
8,808.1474203,Home Goods,2023/9/27 23:24,Unemployed,6,0
9,898.4074868,Electronics,-,Unemployed,12,0
10,803.9542425,Clothing,2023/7/20 9:13,Engineer,11,0
11,732.2318353,Electronics,2023/11/20 10:50,Student,15,0
12,485.359105,Electronics,2023/11/22 12:28,Student,8,0
13,716.084923,-,2022/9/18 9:27,Doctor,7,1
14,824.8826487,Home Goods,2023/3/19 2:35,Artist,11,1
15,356.847088,-,2022/7/30 1:40,Unemployed,14,1
16,575.6191715,Books,2023/6/6 4:14,Student,10,0
17,1480.610583,Electronics,2022/7/30 7:32,Engineer,-,1
18,-,Clothing,-,Artist,17,1
19,651.5347565,Home Goods,-,Doctor,6,1
20,647.3415787,Home Goods,2023/11/19 4:59,-,6,-
21,603.7198183,Clothing,2023/10/6 10:33,Student,10,0
22,993.449047,Sports,2023/6/24 0:11,-,-,-
23,546.9302086,Books,2023/8/22 0:12,Engineer,6,0
24,668.2699848,Home Goods,2023/6/21 7:44,Other,-,0
25,784.8282673,Home Goods,2023/4/27 20:32,Student,7,1
26,-,Books,2023/6/4 18:52,-,-,0
27,891.8235621,Books,-,Student,11,-
28,820.1011548,Home Goods,2022/6/9 20:46,-,9,1
29,723.2571637,Books,2023/10/9 12:08,Engineer,9,0
30,-,Books,2023/8/13 15:31,Engineer,10,0
31,438.1324829,Clothing,2023/8/28 10:01,Student,10,0
32,930.0755126,Books,-,Engineer,13,1
33,620.4550467,Clothing,2023/8/9 10:35,-,9,0
34,-,Electronics,-,Other,9,1
35,344.8933535,Books,2023/9/23 21:13,Engineer,10,0
36,523.6110555,Clothing,-,Engineer,-,0
37,796.7820018,Electronics,2023/6/14 21:15,-,9,0
38,628.2156034,Books,2023/11/26 2:42,Artist,16,0
39,796.7820018,Books,2023/7/26 2:27,Engineer,16,0
40,832.6432054,Sports,2022/3/14 21:55,Student,12,1
41,546.9302086,Home Goods,2023/9/20 18:05,Other,10,0
42,827.8617116,Sports,2022/6/23 2:40,Student,10,1
43,527.8042333,Books,2022/3/12 18:04,Student,6,1
44,641.9717688,Sports,2022/4/16 11:46,Unemployed,7,1
45,245.0702994,Sports,2022/8/5 4:49,Engineer,6,1
46,530.7832962,Books,2023/10/9 19:31,Other,9,0
47,1203.246459,Home Goods,2023/12/19 12:00,Artist,12,0
48,793.8029389,Electronics,2023/10/28 18:50,Student,5,0
49,955.7854125,Books,2023/6/13 18:27,Student,11,0
50,527.8042333,Books,2023/6/1 21:01,Other,10,0
51,380.7545571,Clothing,2023/7/20 12:56,Unemployed,7,0
52,554.1024493,Electronics,2023/11/13 7:14,Doctor,13,0
53,380.7545571,Books,2023/12/3 13:38,Unemployed,6,0
54,527.8042333,Home Goods,2023/6/9 8:39,Student,11,0
55,549.3209555,Electronics,2022/3/24 23:02,Other,8,1
56,411.8342669,Clothing,2022/5/15 3:52,Student,7,1
57,454.2793952,Electronics,2023/9/24 16:38,Engineer,9,0
58,677.8329724,Clothing,2022/2/15 23:50,Doctor,11,1
59,929.4871966,Books,2023/6/23 19:13,Student,10,0
60,677.8329724,Books,2022/1/6 12:22,Artist,11,1
61,549.3209555,Electronics,2023/8/4 7:32,Other,8,0
62,927.6847657,Home Goods,2023/8/4 1:27,Student,9,0
63,509.2665741,Sports,2023/9/12 9:47,Other,11,0
64,696.9589477,Electronics,2023/10/27 11:08,Unemployed,7,0
65,798.5844327,Sports,2022/4/1 3:56,Other,9,1
66,321.5742004,Books,2022/1/17 8:41,Unemployed,14,1
67,791.412192,Home Goods,2023/11/22 5:29,Other,13,0
68,913.3402842,Electronics,2022/3/19 1:21,Engineer,14,1
69,546.9302086,Sports,2022/11/28 19:04,Student,4,1
70,735.2108982,Electronics,2023/3/22 4:26,Student,14,1
71,808.7357363,Electronics,2023/12/3 5:06,Engineer,13,0
72,613.871122,Home Goods,2023/9/12 14:20,Other,4,0
73,549.3209555,Sports,2023/6/12 2:10,Other,10,0
74,461.4516359,Books,2023/11/29 7:44,Student,9,0
75,918.121778,Books,2023/11/18 12:49,Doctor,4,0
76,364.0193287,Books,2023/11/7 21:11,Engineer,9,0
77,249.8517932,Clothing,2022/3/2 18:00,Engineer,10,1
78,530.1949802,Clothing,2023/9/27 11:57,Other,10,0
79,941.4409311,Home Goods,2023/5/8 12:18,Doctor,8,1
80,1050.826973,Sports,2022/3/24 15:02,Artist,11,1
81,558.8839431,Sports,2022/9/20 15:45,Student,8,1
82,974.3230718,Clothing,2023/7/18 15:45,Student,8,0
83,368.8008226,Clothing,2023/8/30 7:31,Artist,5,0
84,824.8826487,Clothing,2023/10/21 16:22,Other,10,0
85,435.1534199,Home Goods,2023/6/11 4:41,Unemployed,8,0
86,1093.860417,Electronics,2023/8/3 17:33,Engineer,15,0
87,806.3449894,Electronics,2022/12/2 17:59,Engineer,10,1
88,715.4966069,Electronics,2023/11/27 22:46,Other,10,0
89,696.3706317,Sports,2023/11/25 0:49,Unemployed,8,0
90,716.084923,Electronics,2023/10/24 10:48,Doctor,10,0
91,599.5266405,Home Goods,2023/10/19 20:31,Unemployed,14,0
92,575.6191715,Clothing,2022/5/20 6:28,Doctor,8,1
93,706.5219353,Sports,2022/10/10 22:12,Engineer,10,1
94,611.4803751,Electronics,2023/6/30 1:46,Student,13,0
95,680.2237194,Clothing,2022/5/6 16:04,Other,11,1
96,784.8282673,Sports,2023/7/9 4:36,Doctor,10,0
97,685.0052132,Books,2023/10/15 0:57,Other,8,0
98,454.2793952,Home Goods,2022/6/17 6:42,Engineer,15,1
99,461.4516359,Home Goods,2023/10/9 8:34,Engineer,11,0
100,875.0883337,Home Goods,2022/4/23 11:09,Doctor,13,1
101,326.3556943,Home Goods,2023/11/20 13:23,Artist,14,0
102,530.7832962,Home Goods,2023/12/18 14:08,Doctor,12,0
103,361.6285818,Electronics,2023/5/14 4:11,Engineer,8,1
104,608.5013121,Electronics,2022/1/17 1:40,Student,12,1
105,623.4341096,Books,2023/8/19 19:31,Unemployed,13,0
106,837.4246992,Sports,2023/8/18 5:13,Artist,13,0
107,459.060889,Electronics,2023/6/16 20:09,Engineer,15,0
108,744.1855698,Home Goods,2023/9/7 15:07,Student,8,0
109,630.6063503,Clothing,2023/8/20 10:25,Artist,16,0
110,642.5600849,Clothing,2023/10/23 19:18,Student,8,0
111,713.10586,Sports,2023/10/22 22:47,Other,10,0
112,800.9751796,Books,2022/3/30 1:06,Engineer,15,1
113,342.5026066,Books,2023/6/16 18:27,Student,10,0
114,530.1949802,Electronics,2023/4/11 10:22,Other,9,1
115,813.5172301,Books,2023/4/2 10:14,Engineer,12,1
116,1069.952948,Books,2022/8/6 23:58,Student,13,1
117,760.9207982,Home Goods,2023/11/6 10:51,Student,14,0
118,974.9113878,Clothing,2023/4/24 19:04,Artist,9,1
119,803.9542425,Electronics,2023/11/23 12:22,Unemployed,8,0
120,646.7532627,Books,2023/7/26 15:38,Other,10,0
121,884.0630053,Books,2023/6/22 0:47,Artist,14,0
122,1271.989803,Clothing,2023/10/25 0:19,Doctor,11,0
123,546.9302086,Sports,2023/7/28 6:05,Doctor,7,0
124,482.9683581,Electronics,2022/6/11 14:52,Engineer,11,1
125,527.8042333,Books,2023/11/28 21:00,Student,9,0
126,699.3496946,Electronics,2022/1/7 15:03,Artist,12,1
127,530.7832962,Electronics,2023/6/20 12:05,Student,8,0
128,418.4181916,Sports,2023/8/21 2:34,Other,6,0
129,901.3865497,Books,2023/6/21 1:12,Unemployed,15,0
130,682.6144663,Electronics,2023/11/5 7:28,Other,12,0
131,490.1405988,Books,2023/7/23 2:53,Student,10,0
132,1043.654732,Books,2023/8/2 13:00,Engineer,10,0
133,447.1071545,Home Goods,2023/9/25 11:24,Artist,10,0
134,641.9717688,Sports,2023/8/18 21:12,Doctor,9,0
135,808.7357363,Electronics,2023/12/24 3:40,Unemployed,7,0
136,898.4074868,Electronics,2023/7/9 1:59,Student,9,0
137,597.1358936,Books,2023/6/4 23:18,Other,11,0
138,634.7995281,Electronics,2023/11/26 12:40,Unemployed,12,0
139,445.3047236,Home Goods,2023/11/28 19:06,Unemployed,9,0
140,710.7151131,Home Goods,2022/12/21 8:45,Unemployed,13,1
141,416.0274447,Clothing,2023/11/15 14:50,Other,11,0
142,898.4074868,Electronics,2023/6/7 13:46,Unemployed,7,0
143,827.8617116,Electronics,2023/6/2 9:37,Artist,13,0
144,651.5347565,Sports,2023/7/17 3:08,Unemployed,10,0
145,407.0527731,Books,2023/10/17 9:10,Unemployed,7,0
146,786.6306981,Sports,2023/12/27 0:21,Artist,9,0
147,592.3543998,Home Goods,2023/12/16 21:34,Engineer,14,0
148,589.9636529,Electronics,2022/10/3 14:39,Doctor,8,1
149,435.1534199,Electronics,2022/8/31 6:38,Doctor,12,1
150,527.8042333,Sports,2023/4/5 22:33,Unemployed,9,1
151,421.3972545,Sports,2023/11/24 7:52,Unemployed,9,0
152,1086.09986,Clothing,2023/2/15 9:57,Doctor,6,1
153,527.8042333,Clothing,2022/8/3 20:30,Student,12,1
154,423.1996854,Clothing,2023/6/7 14:33,Student,11,0
155,623.4341096,Sports,2023/6/10 14:58,Unemployed,10,0
156,582.7914122,Books,2023/8/23 18:05,Doctor,12,0
157,881.6722584,Sports,2022/12/28 2:32,Student,9,1
158,328.1581251,Home Goods,2023/10/17 1:14,Student,13,0
159,444.7164076,Electronics,2023/7/19 6:53,Doctor,8,0
160,622.8457936,Books,2023/12/5 22:01,Student,11,0
161,815.907977,Electronics,2023/2/6 19:25,Other,9,1
162,756.1393044,Books,2023/6/25 6:30,Doctor,11,0
163,423.1996854,Books,2023/5/26 6:37,Artist,8,1
164,515.8504988,Home Goods,2023/10/18 8:09,Unemployed,10,0
165,863.1345992,Home Goods,2023/12/29 2:42,Doctor,7,0
166,822.4919017,Home Goods,2023/10/30 3:54,Engineer,7,0
167,547.5185246,Electronics,2023/11/23 14:29,Other,14,0
168,527.8042333,Home Goods,2023/9/30 13:13,Doctor,13,0
169,623.4341096,Books,2022/6/10 5:01,Artist,8,1
170,435.1534199,Electronics,2023/8/6 0:15,Other,8,0
171,344.8933535,Books,2023/6/25 16:05,Engineer,12,0
172,1062.780707,Clothing,2023/5/28 8:29,Student,12,1
173,693.9798848,Electronics,2023/2/10 5:38,Engineer,13,1
174,478.1868643,Books,2023/8/19 13:46,Engineer,10,0
175,898.4074868,Books,2023/6/1 12:05,Other,13,0
176,808.7357363,Electronics,2023/12/13 20:16,Student,17,0
177,675.4422255,Clothing,2023/11/13 19:37,Engineer,7,0
178,675.4422255,Electronics,2023/7/15 0:52,Student,11,0
179,364.0193287,Home Goods,2022/10/10 15:51,Engineer,14,1
180,368.8008226,Home Goods,2023/9/27 2:30,Student,10,0
181,830.2524585,Home Goods,2022/4/18 5:04,Doctor,9,1
182,506.8758272,Sports,2023/6/18 23:26,Artist,16,0
183,575.6191715,Clothing,2023/11/11 2:46,Artist,8,0
184,806.3449894,Electronics,2022/1/12 11:05,Engineer,19,1
185,974.9113878,Sports,2023/10/10 22:37,Artist,10,0
186,523.0227395,Clothing,2023/10/31 21:05,Artist,12,0
187,464.4306989,Books,2023/6/24 19:36,Engineer,11,0
188,893.6259929,Electronics,2023/4/19 13:22,Student,7,1
189,613.871122,Home Goods,2023/6/3 20:44,Unemployed,6,0
190,628.2156034,Clothing,2023/7/25 19:06,Doctor,8,0
191,1022.13801,Books,2023/6/24 21:14,Artist,11,0
192,1252.275512,Clothing,2023/12/29 19:53,Engineer,9,0
193,514.0480679,Books,2023/6/26 5:10,Student,11,0
194,805.7566734,Clothing,2023/7/20 11:15,Other,11,0
195,705.9336193,Home Goods,2022/6/26 21:25,Engineer,14,1
196,634.7995281,Sports,2023/7/26 13:21,Unemployed,14,0
197,1176.948243,Books,2023/10/3 9:03,Artist,9,0
198,696.9589477,Electronics,2023/9/26 1:59,Other,6,0
199,457.2584581,Electronics,2023/11/27 15:19,Unemployed,12,0
200,530.1949802,Clothing,2022/5/7 11:24,Student,12,1
201,908.5587904,Sports,2023/5/11 5:01,Doctor,9,1
202,929.4871966,Books,2022/5/12 13:12,Artist,10,1
203,159.5917268,Sports,2023/6/25 21:26,Student,5,0
204,549.9092715,Clothing,2023/2/8 6:28,Engineer,13,1
205,608.5013121,Books,2023/12/8 14:04,Engineer,10,0
206,675.4422255,Electronics,2023/11/20 1:38,Doctor,5,0
207,416.0274447,Electronics,2023/8/30 14:22,Doctor,11,0
208,582.7914122,Books,2023/12/1 2:03,Artist,9,0
209,604.3081343,Books,2023/9/17 12:53,Student,15,0
210,630.6063503,Books,2023/11/7 9:57,Student,7,0
211,793.8029389,Electronics,2023/11/6 15:54,Other,17,0
212,608.5013121,Books,2022/8/1 23:08,Doctor,12,1
213,620.4550467,Books,2023/12/13 6:23,Other,11,0
214,420.8089385,Sports,2023/1/1 12:09,Unemployed,9,1
215,770.4837858,Clothing,2023/9/23 7:20,Other,9,0
216,1001.209604,Sports,2023/8/19 16:28,Doctor,6,0
217,615.6735529,Clothing,2023/7/24 2:15,Doctor,8,0
218,435.1534199,Clothing,2023/8/14 12:08,Other,11,0
219,537.955537,Clothing,2023/12/1 3:29,Other,15,0
220,526.0018024,Electronics,2023/9/24 16:59,Engineer,5,0
221,732.8201513,Electronics,2023/10/19 3:27,Doctor,17,0
222,432.762673,Books,2023/8/18 1:37,Unemployed,6,0
223,494.9220926,Sports,2023/8/29 17:06,Engineer,10,0
224,720.2781008,Sports,2023/7/22 1:25,Engineer,3,0
225,504.4850803,Books,2023/12/4 23:37,Unemployed,7,0
226,896.0167399,Sports,2023/9/12 19:20,Unemployed,13,0
227,620.4550467,Books,2023/12/24 4:21,Engineer,8,0
228,805.7566734,Home Goods,2023/6/23 22:36,Engineer,7,0
229,651.5347565,Sports,2022/9/18 13:43,Engineer,12,1
230,822.4919017,Electronics,2023/8/1 22:40,Unemployed,7,0
231,867.916093,Home Goods,2022/8/11 12:16,Student,10,1
232,390.3175447,Books,2022/12/29 21:38,Artist,10,1
233,418.4181916,Electronics,2023/2/18 14:48,Artist,13,1
234,533.1740431,Sports,2023/6/30 22:34,Other,6,0
235,442.9139767,Clothing,2023/12/11 11:19,Other,11,0
236,528.3925493,Books,2023/10/2 4:17,Doctor,8,0
237,623.4341096,Sports,2023/6/26 20:34,Unemployed,14,0
238,1066.973885,Sports,2023/11/10 6:37,Engineer,11,0
239,706.5219353,Books,2022/3/1 5:35,Student,4,1
240,266.5870216,Books,2023/6/25 2:53,Doctor,13,0
241,1171.578433,Books,2023/6/21 19:37,Other,11,0
242,652.1230725,Sports,2023/3/13 19:29,Doctor,17,1
243,863.1345992,Home Goods,2022/4/15 5:53,Engineer,11,1
244,621.0433627,Clothing,2023/10/16 23:43,Unemployed,12,0
245,342.5026066,Sports,2023/7/18 13:20,Artist,13,0
246,342.5026066,Books,2023/6/15 10:59,Student,5,0
247,1010.184275,Home Goods,2022/9/22 13:53,Engineer,5,1
248,461.4516359,Clothing,2023/6/8 4:48,Student,10,0
249,546.9302086,Home Goods,2022/6/5 12:15,Unemployed,8,1
250,620.4550467,Books,2023/8/27 6:23,Unemployed,10,0
251,971.9323249,Clothing,2023/3/31 5:41,Doctor,8,1
252,511.069005,Home Goods,2023/10/20 7:02,Engineer,13,0
253,958.1761594,Home Goods,2023/10/21 6:57,Doctor,6,0
254,685.0052132,Home Goods,2022/4/2 9:21,Doctor,13,1
255,651.5347565,Clothing,2023/8/8 1:03,Student,9,0
256,1081.318367,Books,2023/12/19 10:30,Other,11,0
257,732.2318353,Clothing,2023/11/7 13:55,Engineer,9,0
258,635.3878441,Home Goods,2023/9/17 2:02,Engineer,7,0
259,646.7532627,Home Goods,2023/8/21 0:41,Unemployed,6,0
260,748.9670636,Books,2023/7/16 9:19,Artist,7,0
261,732.8201513,Electronics,2022/6/10 9:19,Engineer,13,1
262,644.9508318,Books,2023/9/17 7:57,Doctor,8,0
263,504.4850803,Clothing,2023/8/25 7:55,Engineer,12,0
264,456.6701421,Home Goods,2022/12/26 14:12,Artist,9,1
265,437.5441669,Sports,2023/8/30 22:36,Student,9,0
266,634.7995281,Home Goods,2023/12/29 16:21,Other,10,0
267,822.4919017,Electronics,2022/1/4 19:49,Unemployed,5,1
268,449.4979014,Electronics,2023/11/3 10:25,Unemployed,4,0
269,490.1405988,Books,2022/6/27 1:40,Other,5,1
270,713.10586,Sports,2023/6/27 17:44,Engineer,9,0
271,527.8042333,Clothing,2023/8/22 5:58,Student,10,0
272,824.8826487,Books,2022/9/23 9:31,Engineer,7,1
273,898.4074868,Home Goods,2022/11/12 21:39,Unemployed,6,1
274,630.6063503,Sports,2023/7/23 20:32,Student,16,0
275,511.069005,Home Goods,2022/6/22 10:33,Engineer,14,1
276,585.1821591,Sports,2023/10/8 3:49,Unemployed,7,0
277,621.0433627,Sports,2022/6/11 9:27,Engineer,12,1
278,546.9302086,Sports,2023/8/16 2:08,Other,10,0
279,898.4074868,Clothing,2023/7/13 22:22,Other,11,0
280,713.10586,Sports,2023/11/18 21:25,Doctor,7,0
281,613.871122,Books,2023/6/9 23:25,Artist,11,0
282,912.7519682,Electronics,2022/3/10 23:16,Doctor,20,1
283,416.6157607,Sports,2023/10/2 7:31,Student,9,0
284,918.121778,Clothing,2022/12/29 10:24,Doctor,7,1
285,651.5347565,Home Goods,2023/11/14 21:54,Unemployed,5,0
286,1432.795645,Sports,2022/10/7 12:36,Other,7,1
287,1090.881354,Electronics,2023/11/13 7:12,Unemployed,6,0
288,770.4837858,Clothing,2023/4/12 6:38,Other,13,1
289,418.4181916,Clothing,2023/7/14 13:43,Other,9,0
290,1115.377139,Home Goods,2023/11/20 7:59,Other,10,0
291,1053.21772,Sports,2023/9/19 6:35,Other,12,0
292,822.4919017,Books,2022/9/21 14:04,Other,11,1
293,558.8839431,Sports,2022/7/30 9:46,Engineer,8,1
294,1108.204899,Clothing,2022/4/22 0:18,Doctor,12,1
295,879.8698275,Sports,2023/8/21 4:20,Student,12,0
296,896.6050559,Books,2023/11/26 13:18,Artist,13,0
297,449.4979014,Books,2022/4/9 12:40,Doctor,11,1
298,527.8042333,Clothing,2023/11/21 5:02,Student,12,0
299,319.1834535,Electronics,2023/12/1 15:20,Doctor,9,0
300,561.27469,Clothing,2023/12/28 3:22,Doctor,15,0
301,706.5219353,Books,2023/10/17 8:04,Engineer,10,0
302,970.129894,Books,2023/8/12 6:23,Other,8,0
303,527.8042333,Sports,2023/9/13 21:39,Unemployed,8,0
304,492.5313457,Home Goods,2023/8/9 10:33,Other,13,0
305,884.6513213,Books,2023/10/31 0:57,Artist,6,0
306,1012.575022,Electronics,2023/6/16 17:55,Artist,10,0
307,901.3865497,Clothing,2023/10/18 7:38,Doctor,13,0
308,656.3162503,Books,2023/1/31 10:45,Engineer,9,1
309,640.1693379,Sports,2022/10/17 18:43,Doctor,8,1
310,623.4341096,Sports,2023/9/17 16:23,Doctor,7,0
311,490.1405988,Home Goods,2023/9/18 1:41,Student,8,0
312,732.2318353,Clothing,2022/7/5 9:08,Engineer,6,1
313,706.5219353,Books,2023/11/4 3:37,Student,14,0
314,715.4966069,Home Goods,2023/12/10 5:08,Doctor,8,0
315,620.4550467,Electronics,2023/9/25 16:13,Artist,7,0
316,708.3243662,Books,2023/6/6 16:23,Doctor,8,0
317,435.1534199,Home Goods,2022/4/30 2:38,Artist,15,1
318,456.6701421,Electronics,2023/7/7 16:34,Student,13,0
319,445.3047236,Sports,2023/7/12 1:48,Doctor,5,0
320,366.4100757,Clothing,2023/9/3 1:45,Doctor,14,0
321,805.7566734,Clothing,2022/1/10 18:31,Student,6,1
322,622.8457936,Electronics,2022/11/9 15:08,Artist,10,1
323,1452.509936,Books,2023/4/2 8:07,Other,13,1
324,794.3912549,Clothing,2023/9/29 2:07,Student,13,0
325,920.5125249,Clothing,2023/11/26 7:42,Doctor,3,0
326,323.3766313,Electronics,2023/9/3 20:24,Engineer,6,0
327,713.10586,Electronics,2023/6/5 18:27,Doctor,6,0
328,630.6063503,Sports,2023/9/30 2:05,Student,9,0
329,621.0433627,Electronics,2023/7/7 7:46,Doctor,17,0
330,620.4550467,Electronics,2023/9/30 6:20,Artist,10,0
331,537.955537,Home Goods,2022/11/20 7:08,Other,8,1
332,620.4550467,Books,2023/12/22 7:58,Artist,9,0
333,237.8980587,Home Goods,2022/7/18 20:35,Doctor,8,1
334,882.2605744,Electronics,2022/11/17 12:24,Other,10,1
335,235.5073118,Sports,2023/9/21 23:58,Engineer,7,0
336,628.2156034,Books,2023/12/24 18:51,Student,8,0
